Name,URL,Rating,City,Location,Jobs,Reviews,Best About,Description,Company Overview,General Information,Key Skills,Why You'll Love Working Here
HSC,https://itviec.com/companies/hsc/review,4.8,Ho Chi Minh,"AB Tower, 76A Le Lai, Ben Thanh, Ho Chi Minh",2,29,Management cares about me,Ho Chi Minh City Securities Corporation (HSC),"Ho Chi Minh City Securities Corporation (HSC)
Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh (HSC) là nhà môi giới chứng khoán và ngân hàng đầu tư uy tín hàng đầu ở Việt Nam. HSC cung cấp đa dạng các sản phẩm và dịch vụ tài chính cho khách hàng cá nhân, khách hàng tổ chức, khách hàng doanh nghiệp trên nền tảng giải pháp tài chính chuyên nghiệp được thiết kế và tư vấn bởi đội ngũ các chuyên gia giàu kinh nghiệm, chuyên môn, đáng tin cậy và đã được chứng nhận thông qua các giải thưởng quốc tế uy tín.
Tại HSC, chúng tôi quan niệm rằng đội ngũ nhân sự là tài nguyên quý giá nhất. Chúng tôi không ngừng tìm kiếm và phát triển các nhà lãnh đạo tương lai. Gia nhập và trở thành một phần của HSC, nơi mọi nhân viên liên tục được truyền cảm hứng để liên tục phát triển mỗi ngày.
Company website
Facebook Page","Company type
IT Product
Company industry
Financial Services
Company size
501-1000
employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
No OT","ReactJS
JavaScript
DevOps
Java
SQL
CSS","Positive work environment, support & determination
Very attractive salary & benefits
Development opportunities & improve a quality life
+3
Understanding candidates' expectations of the ideal workplace, we always put the people element at the top of our priorities. ​
Primary benefits:
Attractive KPI Bonus annual
Review Salary and performance annual
16+ Annual Leaves​, 5 sick leaves, 1 day off birthday
Full Social Insurance, Annual Medical Check- up​, Health insurance
Team Building and company activities: Year- end Party, New-year Party, Company trip, Charity activities
Learning workshops: e-learning, English courses, career development training programs​
Sports clubs: gym, yoga, running, football, tennis, badminton
View more
View less"
Athena Studio,https://itviec.com/companies/athena-studio/review,4.9,Ho Chi Minh,"40A Lam Sơn, Phường 2, Ho Chi Minh",2,26,Management cares about me,Athena Studio - A playful workplace for smart and creative talent.,"Athena Studio - A playful workplace for smart and creative talent.
Athena is a multinational mobile gaming company that creates and delivers products to users worldwide. Millions of users enjoy our casual games every day. This creates a huge opportunity for us to grow but also presents great challenges to overcome as we serve more and more users.
Every day at Athena, we try to apply science and art to our products to make them beautiful, exciting, fun, and useful. Our mission is to create 5-star products that entertain and enrich people’s lives. We believe that when technology, art, and hard work come together, masterpieces are born.
Athena team is a mix of talented people: game producers, artists, data scientists, programmers, gamers, and dreamers. We offer lots of room for you to grow with the company and lots of responsibility in your role. Beyond personal growth, you will make a significant impact on Athena’s success as a whole.
Company website","Company type
IT Product
Company industry
Game
Company size
151-300
employees
Country
United Arab Emirates
Working days
Monday - Friday
Overtime policy
No OT","Latest Technology We Trust
Agile
Unity
C#
Games
Cocos2d-x
AWS
Cocos2dx, Unity, HTML5 at our client side.
Google Cloud and AWS are backing our infrastructure with Big Data processing and Machine Learning jobs.
Gitlab, Jira, Jenkins, Confluence... for process and workflow.","MacBook Pro/Extra screens & Remote Work policy
Premium health insurance package for you, relative
Company Trip 4-5*, Yoga, Gym/Fitness/English club
+2
Great facility to work. You will have
a MacBook and extra high definition screens
Remote work
12 days
/ Annual leave
12 days
/ Sick leave
2 days
/ Anniversary leave
1 day
Premium health insurance package
for you and your relatives
Annual health check-up
at the premium clinic
Development opportunity:
sponsorship for all training courses
Interesting workout activities:
gym/fitness, yoga, kick-boxing, football
after work
With regular discussions, you will have a lot of opportunities to learn from experts in their fields
13th-month Salary + Annual bonus + Project bonus
Twice yearly performance review and one-time salary review per year
Reward & Recognition in mobile platform
1-2 Annual
Luxury Company Trip, Team Building
Free food & drinks, kitchen at work, PlayStation & billiards corner
Friday evening party, happy hours, team activities, and awesome parties
The remaining Annual leave will be transferred to the next working year
Additional allowance, gifts
for birthdays, giving-birth, weddings, illness, Mid-Autumn Festival, Lunar New Year, 1/1, 1/5, 1/6…
Paternity Leave policy offers more than 10 days of paid leave
, not including days-off according to Vietnam Labor Law regulations
Free parking
View more
View less"
Designveloper (DSV),https://itviec.com/companies/designveloper-dsv/review,4.3,Ho Chi Minh,"No. 53-55-57, Pho Duc Chinh street, Nguyen Thai Binh ward, Ho Chi Minh",2,24,Culture & fun,"Designveloper is a youthful &amp; innovative team expertise in web, soft...","Designveloper is a youthful & innovative team expertise in web, software, mobile & VoIP development
DSV is established in 2012, gathering more than 90 people who are young engineers, academic teachers and scientists. We are youthful and innovative teams with expertise in web, software, mobile and VoIP development. We always pursuit latest technologies and are eager to learn new things.
Currently, we are focusing on responsive, single page real-time web application, cross-platform mobile apps, mobile games, and voip services. Using the best practices of agile project methodologies such as pair programming, behavior driven development (bdd) and test-driven development (tdd), we are committing to continuously deliver highest quality products in short iterations.
We are Meteor prime partner
https://www.meteor.com/partners/meteorpartners
Company website
Facebook Page","Company type
IT Outsourcing
Company industry
Software Development Outsourcing
Company size
51-150
employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
No OT","JavaScript, NodeJS, Golang
JavaScript
NodeJS
UI-UX
AngularJS
ReactJS
• Design• Web development• Mobile• Embedded software• VOIP","Are you interested in creating web & mobile apps?
Would you like to work in a dynamic & fun team?
Attractive salary and annual salary review
+3
Why You'll Love Working Here?
Working & growing with Passionate & Talented Team.
Diverse careers opportunities with Software Outsourcing, Software Product.
English environment with projects from US, UK,  …
Projects in various domains (pdf, logistic, online contract, medical …)
Various training on hot-trend technologies, best practices and soft skills.
Have 2 - 3 remote days / week (Flexible).
Working time 35 hours/week (Monday – Friday).
Maximum 16 days annual leave per year.
Refund annual leave days at the end of year.
Professional training process (support Udemy training course, >5000 courses).
Training course refund (AWS…)
Attractive Salary and Benefits.
Performance review.
Almost all customers from the US, UK ….
MacBook Pro provided.
Personal laptop allowance: $250 per year.
Employee referral bonus: $100 - $500.
Project referral bonus: 5% project value contract.
Social insurance, PVI Premium health care for you and your loved ones.
13th month salary and Bonus based on team performance.
Free in-house entertainment facilities (bilak, ping pong,…), coffee, snacks, instant noodles,…
Sport activities: football, table-tennis, table football…
Company trips, team building, office parties, ….
View more
View less"
FE CREDIT,https://itviec.com/companies/fe-credit/review,3.4,Ho Chi Minh,"REE Tower, 9 Doan Van Bo, Ward 12, Ho Chi Minh",2,23,Salary & benefits,FE CREDIT,"FE CREDIT
Founded as Consumer Finance Division of VPBank, FE CREDIT successfully transferred all consumer finance operations to the independent company: FE CREDIT in February 2015.
After 10 years of operation, FE CREDIT has become the market leader in consumer finance industry in Vietnam, with over 17,500 employees and a diversified network of over 13,000 points of sales nationwide operated in a reliable collaboration with more than 9,000 partners, proudly delivers a range of multi-accessible, flexible and effective financial solutions to more than 10 million of Vietnamese through consumer lending products and services.
On October 28th, 2021, VPBank completed the agreement to sell 49% of the charter capital at FE CREDIT to SMBC Group and FE CREDIT was renamed VPBank SMBC Finance Company Limited, creating favorable conditions for our company to strengthen our financial capacity and further expand business activities in other potential segments.
We have long nourished the determination to professionalize our operations. We embrace a strong organisational culture with a shared aspiration and values which allows us to act as a united and focused company.
FOCUS – UNITY – SIMPLICITY – OWNERSHIP
Company website
Facebook Page","Company type
IT Product
Company industry
Financial Services
Company size
1000+
employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
No OT","Our Key Skills
Tester
SQL
Business Analysis
C++
.NET
Java","Tech savvy working environment
Attractive benefits
Training and developing opportunities
+3
See yourselves in a new light
In essence of joining our company, you will be given the scope to seize every opportunity and helped to acquire specific competencies you’ll need to succeed either you wish to go wide or go deep. Our company prides ourselves on our underpinned principle of nurturing people in not only HR policies but also in our culture. We value innovations and we need people to work on initiatives and carry on our business vision of operating excellence and market leadership.
Alongside with these, we believe our staff members deserve a good working condition, so that in addition to social health insurance you will be accessible to health and accident insurance and will be eligible to join in team building every year. We also value your efforts; for this reason, we give you both financial and non-financial rewards such as: KPI bonus, Best Initiatives, Best performer or Best manager of the year, etc.
Company's Benefits
Financial support:
Probation with full salary
Lunch allowance
Wedding support
Family funeral support
13th month salary + KPIs bonus
Performance rewards and awards
Healthcare Insurance
Events and activities:
Christmas
Year End party
Team Building
Family Day
Sport Day
View more
View less"
Buymed,https://itviec.com/companies/buymed/review,4.0,Ho Chi Minh,"Vincom Center Đồng Khởi, 45A Lý Tự Trọng, p. Bến Nghé,, Ho Chi Minh",2,22,Salary & benefits,Significantly impact healthcare by solving complex issues,"Significantly impact healthcare by solving complex issues
Buymed is Vietnam’s and Southeast Asia’s top healthtech company.
We improve healthcare quality and access for practitioners, patients, and all other stakeholders (pharmaceutical producers, distributors, logistics providers, and pharmacists) in between by using transformational technology.
Company website
Facebook Page","Company type
IT Product
Company industry
Healthcare
Company size
501-1000
employees
Country
Vietnam
Working days
Monday - Saturday
Overtime policy
No OT","Golang
ReactJS
React Native","Performance & salary review yearly
Competitive Package
Full salary-based social insurance
+3
Performance & salary review yearly
Paid social insurance based on full salary
PVI Insurance
Medical Checkup
15 days of annual leave
Parking allowance
View more
View less"
VNEXT SOFTWARE,https://itviec.com/companies/vnext-software/review,3.5,Ha Noi,"Tầng 17, 18, 19 Tòa Central Point, 219 Trung Kính, Ha Noi",2,21,Office & workspace,Công ty tư vấn phát triển phần mềm cho đối tác chủ yếu là Nhật Bản,"Công ty tư vấn phát triển phần mềm cho đối tác chủ yếu là Nhật Bản
Founded in January 2008, VNEXT SOFTWARE is a consulting and software development company. Over the past 10 years of development, we have implemented more than 100 large and small projects with 90% majority of partners coming from Japanese market which is a very difficult market and demanding strict quality as well as project progress.
We value the personnal training. IT engineers working at VNEXT are the members with good ability and high qualification. All of them are selected after strictly recruitment
We are looking for Information Technology talents especially the ones who are very good at programming languages which are the positions of Comtor, BrSe in both Vietnamese and Japanese market such as PHP, .NET / C #, Java, Objective C, C / C ++, HTML5, Ruby, Perl, Python, Action script. ... to update the advanced and modern technology for applying to the products we develop.
Company website
Facebook Page","Company type
IT Outsourcing
Company industry
Software Development Outsourcing
Company size
301-500
employees
Country
Japan
Working days
Monday - Friday",Our Key Skills,"Bảo hiểm sức khỏe 24/24 PVI Care
13++ tháng lương/năm
Review tăng lương 2 lần/năm
+3
Mức lương khởi điểm hấp dẫn, cạnh tranh, tương xứng với năng lực và kinh nghiệm làm việc;
Thu nhập: 13 tháng lương/năm + thưởng dự án, thưởng Tết và các dịp lễ…;
Xét tăng lương 2 lần/năm theo năng lực và hiệu quả công việc;
Nghỉ thứ 7, Chủ nhật + Nghỉ phép theo Quy định của Pháp luật hiện hành;
Được tham gia bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp theo Quy định của Pháp luật hiện hành và quy định công ty;
Khám sức khỏe định kỳ 1 năm/1 lần;
Bảo hiểm chăm sóc sức khỏe 24/24 (PVI Care);
Được tham gia các Câu lạc bộ của Công ty: CLB Bóng đá, các CLB Game…..
Được tham gia các hoạt động tập thể sôi động của công ty: Nghỉ mát hàng năm, Teambuilding hàng quý, Gala cuối năm….
Đặc biệt
Được hỗ trợ 100% chi phí tham gia các khóa học kỹ năng mềm và các khóa đào tạo chuyên môn, luyện thi các chứng chỉ uy tín trong và ngoài nước;
Cơ hội làm việc và đào tạo tại Nhật Bản với các ứng viên có tiếng Nhật;
Làm việc trong môi trường chuyên nghiệp, được hỗ trợ phát huy khả năng, phát triển công việc tối đa.
View more
View less"
OL Vietnam,https://itviec.com/companies/ol-vietnam/review,4.3,Ho Chi Minh,"Tòa nhà Saigon Trade Center (37 Tôn Đức Thắng), Sai Gon, Ho Chi Minh",2,20,Salary & benefits,OL Vietnam - The Digital Asset Management trusted by top brands and lead...,"OL Vietnam - The Digital Asset Management trusted by top brands and leading global enterprises.
At
OL Vietnam
, we have worked alongside our parent company, Orange Logic LLC, to support some of the world’s largest enterprises with their digital asset management needs. Orange Logic provides a premier Digital Asset Management (DAM) platform that streamlines workflows, enhances collaboration, and ensures compliance across complex digital ecosystems, empowering any team working with digital content the ability to efficiently create, manage, and distribute their content at scale.
WHAT DIFFERENTIATES OL VIETNAM
We are trusted by global leaders to work with over 100 customers, including many of the world's most recognized brands.
Our business is strong and resilient, even in the face of economic challenges. During the Covid economic downturn, we did not implement layoffs or reduce compensation. Instead, we continued to grow, consistently expanding our team and adding dozens of talented members to our R&D department each year.
You’ll work with top engineers and team members who are passionate about building flexible, scalable, and streamlined systems that will define the future of business management.
Update:
Orange Logic named a
Leader in The
Forrester
Wave™
: Digital Asset Management Systems, 2026.
Orange Logic named a
Leader in the Gartner Magic Quadrant
for Digital Asset Management, 2025.
Orange Logic named a
Leader in Frost & Sullivan’s 2025 Frost Radar™
for Digital Asset Management Platforms.
Data Privacy Notice for Candidates in Vietnam:
By submitting your application, you acknowledge that you have read and understood OL Vietnam’s Privacy Policy. Any consent provided herein is explicit and voluntary.
Based on your consent, OL Vietnam will process your personal data for recruitment for the position you apply for, including evaluating your candidacy, communicating with you, and, where applicable, verifying relevant information as part of the selection process. If you would like OL Vietnam to consider you for future suitable roles, we will request your separate, explicit consent and you may withdraw consent at any time as described in the Privacy Policy. For details on how we handle your information, please refer to https://www.ol-vietnam.vn/privacy-policy.
Company website
Facebook Page","Company type
IT Product
Company industry
Software Products and Web Services
Company size
51-150
employees
Country
United States
Working days
Monday - Friday
Overtime policy
No OT","Our Tech Stack and What Technologies We Use
.NET
Database
C#
SQL
Agile
Kubernetes
We understand that managing your content and the operation that supports it can be challenging. So we try to make your life easier by finding the right tools for the job with the Orange's DAM with multiple features:
Integration
Storage
Workflow
Metadata
Artificial Intelligence
Security","Attractive Salary and Benefits
Amazing Clients
Product driven company
+3
You would love to work and find those values with us:
Distributed decision making:
We also allow each employee to directly weigh in on our priorities.
Transparency:
We value transparency, openness, and accountability, whether it is with our customers or internally.
Meritocracy:
Employee's recognition and advancement is based purely on their individual and collective achievements.
Deep work:
We do everything we can to let you focus deeply on your work.
Our benefits include:
Attractive salary package.
100% Gross Salary in the probation period.
13th-month salary.
18 days of annual leaves (cashback allowed if not used).
4 days for an overseas company trip.
Multiple allowances (Lunch, Gym, Parking, Birthday/Tet/Wedding voucher... ).
Full social, health, and unemployment insurance.
Premium healthcare insurance for you and coverage for 1 extra family member.
Monthly team-building activities (Bowling, Go-Kart, Candle Handmade workshop....) and special celebrations on Autumn Festival, Halloween, Christmas, Tet, …
Monthly happy lunch and daily happy hours with free snacks, soft drinks, fruit, and coffee.
Sports activities (PlayStation 5, Badminton, Football,...)
Working mode:
In-person
at the offices.
HCMC Office:
Tòa nhà Saigon Trade Center (37 Tôn Đức Thắng, P. Sài Gòn).
Hanoi Office:
Tòa nhà 14 Láng Hạ (14 P. Láng Hạ, Thành Công, Ba Đình).
Jakarta Office:
Sahid Sudirman Centre, 56th Floor, Jl. Jenderal Sudirman No.86, Jakarta Pusat, Indonesia.
View more
View less"
Outcubator,https://itviec.com/companies/outcubator/review,3.5,Ha Noi,"Số 1, ngách 52/28 Tô Ngọc Vân, phường Quảng An, quận Tây Hồ, thành phố Hà Nội, Việt Nam , Ha Noi",2,19,Office & workspace,Building the next generation of global payments platform,"Building the next generation of global payments platform
Outcubator Vietnam headquartered in San Francisco, was established in Vietnam since Oct 2014. We are global product company focused on building payment and E-commerce solution that make an impact. We are an all-in-one global monetization platform for digital content, virtual goods, and web service with 120+ payment options.  The company employs professionals of 25 different nationalities in 20+ offices, namely San Francisco, Berlin, London, Manila, Beijing, Lisbon, Seoul, Bangalore, Gurgaon, Ha Noi…
Company website
Facebook Page","Company type
IT Product
Company industry
Financial Services
Company size
151-300
employees
Country
United States
Working days
Monday - Friday
Overtime policy
No OT","Our Key Skills
PHP
MySQL
NoSQL
OOP
JavaScript
English
As the international company, we look for smart and global-minded people to join us to help the company grow and provide the world the most convenient payment methods","Global working environment
High salary and top benefit
Individual career path
+2
Exciting projects that impact the payments industry and digital space
Opportunity to work with an international tech team
Chance to make an impact and valuable contribution to a global product
Financial stability
Private Insurance
Paid vacation
Convenient office location near West lake
Annual assessments
Flexible working time
Optional business trips
Monthly team activity
Football & ping-pong teams inside company
Meals provided in the office  - breakfast, lunch and snacks prepared by company chefs
View more
View less"
Ahasoft,https://itviec.com/companies/ahasoft/review,4.2,Ho Chi Minh,"MIOS Building, 121 Hoang Hoa Tham Street, Gia Dinh, Ho Chi Minh",2,18,Management cares about me,Happy employees make happy customers!,"Happy employees make happy customers!
Founded in 2005 in Korea,
Ahasoft
has grown to become a leading provider of salon management software. Today, our solutions are trusted by more than 9,000 hair and beauty salons, empowering their operations and enhancing customer experiences.
In 2017, we established
Ahasoft Co., Ltd. Vietnam
in Ho Chi Minh City as part of our strategic expansion into the Southeast Asian market. Our mission is to collaborate closely with our Korean R&D team to develop innovative software solutions and deliver them to clients around the world.
At Ahasoft, we believe that people are our greatest asset. We are currently seeking talented, proactive developers who are passionate about technology and eager to grow with us as we shape the future of salon software globally.
Company website
Facebook Page","Company type
IT Product
Company industry
Software Products and Web Services
Company size
1-50
employees
Country
South Korea
Working days
Monday - Friday
Overtime policy
No OT","Skills We Use
C#
.Net Core
AI
VueJS
Azure
TypeScript","Professional working environment
Attractive benefits and compensation package
Work and approach with latest/hot technologies
+3
As the Ahasoft's employee, you are entitled to have:
Attractive salary
A professional and friendly working environment
Training to other positions (full-stack, mobile)
Social Insurance is based on full salary
Additional benefits include:
13th-month salary
Holiday bonuses on April 30 and September 2 (500,000 VND per occasion)
Employee loyalty rewards (3+ years)
Special benefits for leadership roles (Team Lead, etc.)
Private healthcare insurance
Annual general health check-up
Annual company trip (domestic or international)
15 days of annual leave
Payment for unused leave
English class
support (2,000,000 VND/month)
Motorcycle parking fee support
Technical and soft skills training
Monthly team dinner (500,000 VND/member/month) and year-end party
“Employee of the Year” gifts and lucky draw prizes
Modern equipment such as coffee machines and ice makers
Snacks and beverages
Birthday, Mid-Autumn, and Lunar New Year gifts (1,000,000 VND)
Movie outings at least twice a year
Leisure activities (Mid-Autumn Festival, Christmas, Lunar New Year, etc.)
Full salary during the probation period
Leave entitlements during probation
All allowances and benefits as regulated by Vietnam Labor Law
View more
View less"
Deliveree On-Demand Logistics,https://itviec.com/companies/deliveree-on-demand-logistics/review,4.0,Ho Chi Minh,"1/12 Hoàng Việt, Phường 4, Tân Bình, Hồ Chí Minh, Vietnam, Ho Chi Minh",2,18,Office & workspace,"At Deliveree, we disrupt the logistics industry with technologies.","At Deliveree, we disrupt the logistics industry with technologies.
MISSION
Deliveree's mission is to be the smartest, fastest and most economic transportation for businesses in SE Asia. We are the leading innovator and disruptor who is applying a sophisticated technology marketplace solution with big data analytics to a highly fragmented, traditional industry that is over 100 years old.
LEARN ABOUT DELIVEREE
Website:
www.deliveree.com
Deliveree Ninja Commercial:
http://bit.ly/2l4QZue
What is Deliveree?
http://bit.ly/2l0aXpQ
Company website","Company type
IT Product
Company industry
Transportation, Logistics and Warehouse
Company size
51-150
employees
Country
Singapore
Working days
Monday - Friday","Ruby on Rails
ReactJS
.NET
Product Management
Android
iOS","International Working Environment
Stronger Career Path /Learning latest technologies
Competitive compensation & Benefits
+2
REGIONAL COMPANY
An exciting opportunity to work with the fastest growing international logistics player.
International environment where you can work and learn with coworkers from different southeast asian markets.
Opportunities for onsite trip in our operating markets.
Flexible Working Hour and location (2 days remote working/week)
FOOD & BEVERAGE
Free Flow of Coffee and Drinks
Every Month Special Snack & Beers
Free Late Dinner Menu from near restaurant
BONUSES
Loyalty Bonus Package
13th Month Salary
HEALTH & LEAVES
Annual Health Checkup
100% gross salary during probation period
100% Insurance According To Labor Law
Premium Healthcare Insurance Package
15 Days Paid Annual Leave
DEVELOPMENT PROGRAMS
Monthly Technical Sharing
Develop Personalized Career Path
SOCIAL & ENTERTAINMENT
Welcome Kit From Deliveree
Regular Team Social Events (Quarterly Company Parties)
Social Club activities
Cool Entertainment Area (Guitar, Video Games, ...)
View more
View less"
LIFULL Tech Vietnam,https://itviec.com/companies/lifull-tech-vietnam/review,3.8,Ho Chi Minh,"17 Đường số 2, Cư xá Đô Thành, Ho Chi Minh",2,17,Management cares about me,LIFULL Tech Vietnam - Công ty con thuộc tập đoàn LIFULL của Nhật Bản,"LIFULL Tech Vietnam - Công ty con thuộc tập đoàn LIFULL của Nhật Bản
◆
We are a subsidiary of LIFULL Co., Ltd. (Japan), LIFULL has a real estate and housing information aggregation web service that is Japan’s top provider in terms of the number of available properties. We develop the aggregation web service and also some other companies’ services. Now we are expanding our activities in Vietnam, let join us and grow with us.
◆　Our vision is “Make every LIFE FULL.”. At LIFULL, we focus on every person in the world. Everything we do is to make LIFE in our world FULL of peace of mind and well-being.With that motto, in Vietnam, we use advanced technology and sincere desire to contribute to everyone’s LIFE FULL. We are aiming to expand the company scale, elevate our software engineers and create more high-quality technology products that improve people’s lives.
Company website
Facebook Page","Company type
IT Product
Company industry
Software Products and Web Services
Company size
51-150
employees
Country
Japan
Working days
Monday - Friday
Overtime policy
Extra salary for OT","Our Key Skills
Android
PHP
Linux
MySQL","Year-end Bonus & Performance review twice a year
Quarterly & Annual MVP Awards
Health care insurance for official employees
+3
Benefits
Year-end bonus
Performance evaluation twice a year
MVP awards for excellent employees every quarter and year-end.
Holidays provided as Labor Law, 12 days of paid leave per year and company holidays.
Every two years of working plus 1 day of paid leave
Health care insurance for official employees. (UIC care 24/24 Insurance).
Annual company trip, picnic, health checkup, year end party
Birthday gift (VND 1,000,000).
Gifts for Children's day, Women's day and Men's day.
Gift for marriage, childbirth, get-well gifts, family condolence.
Quarterly team building allowance (VND 500,000).
Allowance of examination fees for company-specified qualifications.
Introduce a new member for the company: Referral reward for Employee and candidates.
Free 24/7 bike park
Other interesting activities: tea break, team building, monthly company meetings,...
View more
View less"
Sioux High Tech Software,https://itviec.com/companies/sioux-high-tech-software/review,4.5,Da Nang,"74 Bạch Đằng, Da Nang",2,17,Management cares about me,We bring high-tech to life together with a team of driven engineers!,"We bring high-tech to life together with a team of driven engineers!
ABOUT SIOUX GROUP
Sioux Group was founded in 1996 in the
Netherlands
. With over
1000 engineers
in 22 offices in
the Netherlands, Belgium, Germany, Romania, China, Vietnam, and Singapore, Sioux develops R&D projects of leading high-tech companies.
Sioux aims to build innovative solutions that can contribute to a smarter, safer, healthier, and more sustainable society.
Visit
﻿
﻿
Sioux website
to see more!
ABOUT SIOUX VIETNAM
Established in 2012,
Sioux High Tech Software
was proud to be Sioux's first office in Asia. We develop and deliver high-quality software applications to international tech giants. We strive for a Culture of Excellence and grow our employees with challenging projects.
Being a part of Sioux High Tech Software, you will be involved in the full life circle of software development in various projects from English-speaking clients. You will work directly with the client from end to end in an Agile spirit, thus there are great opportunities for personal development in not only technical skills but also soft skills.
Check out this
Facebook Page
or
LinkedIn Page
for an insightful view of what it looks like to work at Sioux HTS.
Company website
Facebook Page","Company type
IT Service and IT Consulting
Company industry
IT Services and IT Consulting
Company size
51-150
employees
Country
Netherlands
Working days
Monday - Friday
Overtime policy
No OT","Skills We Use
React Native
ReactJS
.NET
Agile
English
JavaScript","Employee well-being package up to VND 30 mil/ year
Hi-tech projects from Europe
Honest, Open, Transparent
+3
WHAT WILL YOU ENJOY?
Competitive salary, 13th-month salary, project bonus;
19 leave days per year;
Employee Well-being Package:
Each employee is eligible for an assigned package (based on grade and length of service) up to VND 30,000,000/ employee/ year for well-being benefits including Premium Insurances, Skills Development, Kids’ learning fees etc.
Company-sponsored trainings: soft skills/ technical skills/ English etc.
Diverse company culture activities: Company trip, company outings, Lunch & Learn, Work Anniversary etc.
Explore more about life in Sioux at
Facebook Page
or
LinkedIn Page
View more
View less"
Viettel Post (A Member of Viettel Group),https://itviec.com/companies/viettel-post-a-member-of-viettel-group/review,3.3,Ha Noi,"Số 2, Ngõ 15, Đường Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội, Ha Noi",2,15,Salary & benefits,Viettel Post ( A Member of Viettel Group ),"Viettel Post ( A Member of Viettel Group )
ViettelPost - Tổng Công ty Cổ phần Bưu chính Viettel là một đơn vị thành viên của Tập đoàn Viễn thông Quân đội (Viettel Group). Viettel Post luôn coi nguồn nhân lực là yếu tố cốt lõi và là tài sản quý giá. Với khẩu hiệu: “Viettel Post -Đi sâu đi xa để con người gần nhau hơn”, Tổng Công ty đã xây dựng một đội ngũ nhân sự tinh gọn, có đức tính trung thực, chăm chỉ. Để đáp ứng mong muốn của khách hàng khi sử dụng dịch vụ.
Với sứ mệnh phát triển Viettel Post thành công ty công nghệ bưu chính hàng đầu Việt Nam và khu vực trong thời đại cách mạng 4.0, ViettelPost đã không ngừng triển khai các dự án công nghệ phần mềm qui mô lớn, điển hình 1 số dự án sau:
- Web/App Viettelpost
- Sàn thương mại điện tử
- Quản lý bán hàng đa kênh
- Mảng gọi xe
- Các dự án AI/BigData/Machine Learning
Company website","Company type
IT Product
Company industry
Transportation, Logistics and Warehouse
Company size
1000+
employees
Country
Vietnam
Working days
Monday - Friday","Java,Angular,React Native,PHP,NodeJS,ReactJS,Oracle
Java
Angular
React Native
NodeJS
PHP
ReactJS","Mức thu nhập cạnh tranh, chế độ đãi ngộ hấp dẫn
MT trẻ và chuyên nghiệp, đồng nghiệp thân thiện
Được làm sản phẩm với lượng người dùng lớn
+3
Tại Tổng Công ty Cổ phần Bưu chính Viettel, các ứng viên sẽ được làm việc trong môi trường năng động, trẻ trung và chuyên nghiệp, với các đãi ngộ hấp dẫn sau:
1.Chế độ về lương thưởng, thu nhập
Mức lương từ 700$ - 1500$ đối với Junior, 1500$ - 3000$ đối với Senior.
Có chế độ hỗ trợ tiền điện thoại và ăn trưa, nghỉ mát hàng năm; kèm theo là các khoản thưởng vào các dịp lễ lớn (30/4, 1/5, 2/9, ngày thành lập Tập đoàn, Tổng Công ty, Tết Dương/ Âm)
2.Chương trình chăm sóc sức khỏe
Được đóng đầy đủ về các chế độ bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp và các gói bảo hiểm sức khỏe khác.
Hàng năm CBNV được tham gia khám sức khỏe định kỳ tại các bệnh viện lớn.
Phụ nữ có con nhỏ dưới 1 tuổi sẽ được nghỉ thêm 1h/ngày
3.Đào tạo, phát triển
Hàng tuần, công ty tổ chức buổi Seminar trao đổi, chia sẻ về các công nghệ mới nhất; là cơ hội để các thành viên học hỏi lẫn nhau.
Được tham gia các khóa học bổ ích từ các diễn giả Quốc tế tại Học viện Viettel
Có cơ hội thăng tiến trong nghề nghiệp.
4.Hoạt động tập thể hấp dẫn, phong phú
Tham gia vào hoạt động 'Happy Time"" vào chiều thứ 6 hàng tuần cùng với chương trình sinh nhật tháng.
Chương trình teambuilding, văn hóa, du lịch nghỉ mát hấp dẫn và đa dạng.
Các hoạt động thể dục thể thao cùng các giải đấu được Tập đoàn tổ chức.
View more
View less"
